Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Andrist, Sean; Collier, Wesley; Gleicher, Michael; Mutlu, Bilge; Shaffer, David; ",Look together: Analyzing gaze coordination with epistemic network analysis,Frontiers in psychology,6,,1016,2015,Frontiers
"Huang, Chien-Ming; Andrist, Sean; Sauppé, Allison; Mutlu, Bilge; ",Using gaze patterns to predict task intent in collaboration,Frontiers in psychology,6,,1049,2015,Frontiers
"Sauppé, Allison; Mutlu, Bilge; ",Effective task training strategies for human and robot instructors,Autonomous Robots,39,3,313-329,2015,Springer US
"Rakita, Daniel; Pejsa, Tomislav; Mutlu, Bilge; Gleicher, Michael; ",Inferring gaze shifts from captured body motion,ACM SIGGRAPH 2015 Posters,,,1-1,2015,
"Price, Morgan A; Venkatraman, Vindhya; Gibson, Madeleine; Lee, John; Mutlu, Bilge; ",Psychophysics of trust in vehicle control algorithms,,,,,2016,SAE Technical paper
"Huang, Chien-Ming; Mutlu, Bilge; ",Anticipatory robot control for efficient human-robot collaboration,2016 11th ACM/IEEE international conference on human-robot interaction (HRI),,,83-90,2016,IEEE
"Gibson, Madeleine; Lee, John; Venkatraman, Vindhya; Price, Morgan; Lewis, Jeffrey; Montgomery, Olivia; Mutlu, Bilge; Domeyer, Joshua; Foley, James; ","Situation awareness, scenarios, and secondary tasks: measuring driver performance and safety margins in highly automated vehicles",SAE International Journal of Connected and Automated Vehicles,1,2016-01-0145,33-40,2016,
"Pejsa, Tomislav; Mutlu, Bilge; Gleicher, Michael; ",Animating the Gaze Behavior of Virtual Characters,,,,,2013,
"Sirkin, David; Martelaro, Nik; Tennent, Hamish; Johns, Mishel; Mok, Brian; Ju, Wendy; Hoffman, Guy; Knight, Heather; Mutlu, Bilge; Takayama, Leila; ",Design skills for HRI,2016 11th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,581-582,2016,IEEE
"Herring, Susan C; Fussell, Susan R; Kristoffersson, Annica; Mutlu, Bilge; Neustaedter, Carman; Tsui, Katherine; ","The future of robotic telepresence: visions, opportunities and challenges",Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,,,1038-1042,2016,
"Rigon, Arianna; Turkstra, Lyn; Mutlu, Bilge; Duff, Melissa; ",The female advantage: sex as a possible protective factor against emotion recognition impairment following traumatic brain injury,"Cognitive, Affective, & Behavioral Neuroscience",16,5,866-875,2016,Springer US
"Turkstra, Lyn; Politis, Adam; Duff, Melissa; Mutlu, Bilge; ",Response to text-based social cues in adults with traumatic brain injury,BRAIN INJURY,30,5-6,717-717,2016,"TAYLOR & FRANCIS INC 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
"Turkstra, Lyn; Duff, Melissa; Mutlu, Bilge; ",Sex vs gender effects on self-reported executive function after TBI,BRAIN INJURY,30,5-6,679-680,2016,"TAYLOR & FRANCIS INC 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Frontal and temporal structural connectivity is associated with social communication impairment following traumatic brain injury,Journal of the International Neuropsychological Society,22,7,705-716,2016,Cambridge University Press
"Mutlu, Bilge; Roy, Nicholas; Šabanović, Selma; ",Cognitive human–robot interaction,Springer Handbook of Robotics,,,1907-1934,2016,"Springer, Cham"
"Mutlu, Bilge; ",Designing Social Behavior for Humanlike Robots,,,,,,
"Broz, Frank; Lehmann, Hagen; Mutlu, Bilge; Nakano, Yukiko; ",Gaze in human-robot communication,,,,,2015,John Benjamins Publishing Company
"Bodden, Christopher; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Evaluating intent-expressive robot arm motion,2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,,658-663,2016,IEEE
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Motion synopsis for robot arm trajectories,2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,,281-287,2016,IEEE
"Pejsa, Tomislav; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Authoring directed gaze for full-body motion capture,ACM Transactions on Graphics (TOG),35,6,1-11,2016,"ACM New York, NY, USA"
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn Siobhan; Mutlu, Bilge; Duff, MC; ",Relationship between individual differences in functional connectivity and facial-emotion recognition abilities in adults with traumatic brain injury,NeuroImage: Clinical,13,,370-377,2017,Elsevier
"Turkstra, Lyn S; Kraning, Sarah G; Riedeman, Sarah K; Mutlu, Bilge; Duff, Melissa; VanDenHeuvel, Sara; ",Labelling Facial Affect in Context in Adults with and without TBI,Brain Impairment,18,1,49-61,2017,Cambridge University Press
"Andrist, Sean; Bohus, Dan; Mutlu, Bilge; Schlangen, David; ",Turn-taking and coordination in human-machine interaction,AI Magazine,37,4,5-6,2016,
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",A motion retargeting method for effective mimicry-based teleoperation of robot arms,Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,,,361-370,2017,
"Szafir, Daniel; Mutlu, Bilge; Fong, Terrence; ",Designing planning and control interfaces to support user collaboration with flying robots,The International Journal of Robotics Research,36,5-7,514-542,2017,"SAGE Publications Sage UK: London, England"
"Paxton, Chris; Jonathan, Felix; Hundt, Andrew; Mutlu, Bilge; Hager, Gregory D; ",User experience of the CoSTAR system for instruction of collaborative robots,arXiv preprint arXiv:1703.07890,,,,2017,
"Bodden, Christopher; Mutlu, Bilge; Gleicher, Michael; ",Systems For Synthesizing and Studying Robot Motion,,,,,2016,
"Andrist, Sean; Gleicher, Michael; Mutlu, Bilge; ",Looking coordinated: Bidirectional gaze mechanisms for collaborative interaction with virtual characters,Proceedings of the 2017 CHI conference on human factors in computing systems,,,2571-2582,2017,
"Michaelis, Joseph E; Mutlu, Bilge; ",Someone to read with: Design of and experiences with an in-home learning companion robot for reading,Proceedings of the 2017 CHI conference on human factors in computing systems,,,301-312,2017,
"Turkstra, Lyn Siobhan; Duff, Melissa Collins; Politis, Adam Michael; Mutlu, Bilge; ",Detection of text-based social cues in adults with traumatic brain injury,Neuropsychological rehabilitation,29,5,789-803,2019,Routledge
"Pejsa, Tomislav; Gleicher, Michael; Mutlu, Bilge; ","Who, me? How virtual agents can shape conversational footing in virtual reality",International Conference on Intelligent Virtual Agents,,,347-359,2017,"Springer, Cham"
"Mutlu, Bilge; Duff, Melissa; Turkstra, Lyn; ",Social-cue perception and mentalizing ability following traumatic brain injury: A human-robot interaction study,Brain injury,33,1,23-31,2019,Taylor & Francis
